Jane Austen
George Eliot
Charles Dickens
Chinua Achebe
Peter Ackroyd
Douglas Adams
Chimamanda Ngozi Adichie
Jeffrey Archer
Jeffrey Archer
Philip Ardagh
Simon Armitage
Isaac Asimov
Åsne Seierstad
Diana Athill
Kate Atkinson
Margaret Atwood
WH Auden
Paul Auster
Julian Baggini
Paul Bailey
Beryl Bainbridge
James Baldwin
